REPAIR_ID,PLAYER_ID,PLATFORM_MODEL,INTAKE_DATE,TECH_DIAGNOSIS,UPGRADE_PARTS_INSTALLED,REPAIR_STATUS
R_8001,P_0001,Novritsch_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8002,P_0002,GHK GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8003,P_0003,LCT_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8004,P_0004,PolarStar Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8005,P_0005,Silverback_VSR-10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8006,P_0006,Wolverine Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8007,P_0007,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8008,P_0008,VFC_Vector SMG_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8009,P_0009,Wolverine Kythera SR25,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8010,P_0010,Redline MTW,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8011,P_0011,G&G_AK74U_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8012,P_0012,LCT SCAR-L,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8013,P_0013,LCT AK74U,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8014,P_0014,LCT AK74U,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8015,P_0015,VFC_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8016,P_0016,VFC_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8017,P_0017,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8018,P_0018,Cyma_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8019,P_0019,PolarStar Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8020,P_0020,Wolverine F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8021,P_0021,Redline F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8022,P_0022,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8023,P_0023,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8024,P_0024,Cyma Vector SMG,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8025,P_0025,Krytac_AK74U_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8026,P_0026,PolarStar F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8027,P_0027,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8028,P_0028,WE Tech GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8029,P_0029,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8030,P_0030,Wolverine MTW,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8031,P_0031,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8032,P_0032,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8033,P_0033,Tokyo Marui M4 CQB,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8034,P_0034,WE Tech GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8035,P_0035,Tokyo Marui_Steyr Scout,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8036,P_0036,LCT_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8037,P_0037,Wolverine Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8038,P_0038,Tokyo Marui_Steyr Scout,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8039,P_0039,LCT_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8040,P_0040,G&G_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8041,P_0041,Tokyo Marui GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8042,P_0042,Cyma_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8043,P_0043,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
